Epoch,Train PPL,Valid PPL,Test PPL,Time(s)
1,367.75349873595457,200.46962848983216,197.2135076608429,15.863139629364014
2,178.8806600838537,148.01375695717635,145.54255860281222,14.388416767120361
3,140.15550008028939,126.42150819945347,123.87041606625853,11.614122867584229
4,119.89609873925015,113.97749553339679,110.72512739076079,15.333370208740234
5,107.35087018481981,105.69173833951713,102.85399628016505,11.383241653442383
6,98.73013356066795,101.06152046024305,98.1483558362981,15.03943395614624
7,92.23952056736603,97.86077306779403,95.19116414752362,15.547552824020386
8,87.11350786222843,95.0613001401086,91.99366586511681,11.395994424819946
9,82.99674885288468,92.55254058147612,90.05845492451064,15.470608949661255
10,79.85493081118373,91.68496662999486,89.02405755089177,12.811005592346191
11,77.00828266572618,90.37341768900649,87.96314217107786,13.823931217193604
12,74.5515909497907,89.02736151369494,86.72723923398026,15.355689287185669
13,72.31594952793294,88.46925042954297,85.94743314617033,11.041959524154663
14,70.61732087880355,88.19548679589641,85.57468450401618,15.304009675979614
15,69.0524198999508,87.0944142488864,84.43340309085566,14.930428266525269
16,67.39859051238602,87.05384111750436,84.48338422699807,11.130423069000244
17,66.1620310362591,86.32165391322586,84.26580464694909,15.37468433380127
18,65.04827614118986,86.1786140581187,83.68519903567359,11.879356145858765
19,63.895427911620565,85.73719596222996,83.53994750841197,14.59236741065979
20,62.94205345745145,85.57177283444845,82.9477623411592,15.297137975692749
21,61.907331020128616,85.89094269964332,83.35179646595773,8.487252950668335
22,55.95135580519745,82.8930556819086,79.80597995682295,6.351269245147705
23,53.435933654681094,81.90155124931032,79.28679523529443,6.3316426277160645
24,51.88996669266033,81.82231610869796,79.30049513056977,6.343957424163818
25,50.756605972083634,81.95027429408944,78.91953022060932,6.340794324874878
26,48.00751378004042,81.00095731406277,78.08939626060747,9.985244989395142
27,46.7408293432278,80.99912518061188,78.09505332114344,15.441976547241211
28,45.93866559404391,80.99882243223277,77.8272616286078,12.964749813079834
29,45.32125461667914,81.05009292808256,77.90051267914527,13.534184217453003
30,43.981927681189184,80.40441291729421,77.1333579874911,15.353669881820679
31,43.27155542599392,80.44225827082094,77.11758658225347,10.419708013534546
32,42.665569608969015,80.14326366683451,76.76820831070977,15.598371505737305
33,42.34584293161383,80.00566746711097,76.6754681079377,15.443222045898438
34,42.07860765411319,79.9970461826794,76.60987569313292,9.023931741714478
35,41.77243567497023,80.09338378604146,76.69307383905927,15.367601871490479
36,41.59044838945703,79.83640601902727,76.42745010388329,14.043763637542725
37,41.34774907496726,79.75893914325394,76.3676794534615,11.818298578262329
38,41.31150784075779,79.77638930881906,76.38659518458793,15.351730823516846
39,41.008798143149384,79.6860156199055,76.25351873720808,11.238219261169434
40,41.06524095105233,79.63770076055013,76.19045779566292,14.353705883026123
41,40.93420422042791,79.64078556351402,76.18231776464347,15.364720344543457
42,40.90532977355475,79.58734091744859,76.11112286832443,8.735455513000488
43,40.85775996600442,79.55086726624327,76.07786912359978,11.766883850097656
44,40.804819957717356,79.52734200728166,76.04757204869013,15.365341424942017
45,40.732164117147875,79.54225490649368,76.09003716169342,11.237288475036621
46,40.69035292505768,79.5305469811957,76.059631784544,10.70252013206482
47,40.66540921921339,79.52047803771069,76.03490101200993,15.3402259349823
48,40.682607912395696,79.51302333407116,76.02415423066961,12.365974187850952
49,40.693461343109796,79.49503970739728,76.00798725882483,8.259228229522705
50,40.69628027407881,79.4783936064865,75.99144320684113,15.37261176109314
