epoch,train_loss,train_acc,dev_bleu,dev_token_acc,dev_seq_acc
1,7.024323009042179,0.16022039536702237,2.5126161341701514,0.04345100677297537,0.0
2,4.987136061051313,0.3324955866189842,9.401502612498822,0.07120033023988258,0.0
3,4.18385281219981,0.43432240022025675,15.152996777576199,0.08746770223370587,0.0
4,3.8521950154522666,0.47871413359600096,17.082518369663614,0.08575534728698764,0.0
5,3.7414100665672154,0.49177486230695416,17.209775444497286,0.09096885654440656,0.0
6,3.669031046574412,0.5007545335265903,18.915633708601366,0.0966257434219579,0.0
7,3.50981476353664,0.5240524059032698,19.771841516708992,0.10209916369807513,0.0005
8,3.3725147851931503,0.5451252772937635,20.704103253204728,0.09627409910254255,0.001
9,3.2636752917096508,0.5622510053165053,21.438489388327298,0.10180867491247114,0.001
10,3.172597954943289,0.5770017410372726,21.60215058736343,0.1033069854908496,0.0015
11,3.0961897204903996,0.5897308141846707,21.669948786489172,0.10503462932102069,0.002
12,3.02842185668696,0.6012607192310739,21.99867616893484,0.10553916247496445,0.0015
13,2.9695444063423504,0.6116980689884112,22.771485491900908,0.107511428440381,0.0
14,2.915541831184836,0.6217630096370582,22.99381935789294,0.10512636262173773,0.0015
15,2.8670904508603163,0.6307418062624496,22.69476198596737,0.10937667222162765,0.0015
16,2.8224265201419008,0.6391237591804755,22.953342189511332,0.10945311663889186,0.0
