1528708,12937,33,0,0,29826,33,0,19,0,9
43102,3962460,4987,74,92785,99142,27549,101445,9546,79010,10179
1,42961,981,11,2952,22568,1457,17874,280,6990,172
5,4277,347,4752911,134247,63,0,10,5088,6496,26607
0,26749,179,47757,1396517,622,0,226,1501,9420,3342
52522,132552,494,0,13,2559155,732,51071,27,702,2
1513,96045,694,0,3,33180,19865,148,38,414,139
0,56590,865,0,16,47194,301,402833,2026,17511,207
3,75999,554,35436,16986,772,797,26609,219300,27191,17942
2,20645,324,22,6905,405,75,1941,3227,90650,4104
199,15028,761,24901,8231,96,2207,753,7621,97628,220574
