step,train/loss,train/mean_iou,train/pixel_acc,val/mean_iou,val/pixel_acc
0,2.7770228385925293,0.030651934444904327,0.14333516359329224,0.005560101009905338,0.03954260051250458
1,2.314605474472046,0.040070801973342896,0.3288905620574951,0.026489822193980217,0.29138803482055664
2,2.2513036727905273,0.043026238679885864,0.3309238851070404,0.033235903829336166,0.29354044795036316
3,2.1193199157714844,0.049451734870672226,0.3380305767059326,0.056726615875959396,0.30473583936691284
4,1.8170033693313599,0.11046414822340012,0.46103695034980774,0.10016314685344696,0.3880431056022644
5,1.4212876558303833,0.1439577341079712,0.5546496510505676,0.0660870149731636,0.3716456890106201
6,1.153512954711914,0.17837736010551453,0.6453341245651245,0.12514977157115936,0.5196554660797119
7,0.9675508141517639,0.20538145303726196,0.6917423605918884,0.14518864452838898,0.5724628567695618
8,0.8955817818641663,0.2264273315668106,0.7070226669311523,0.2085588425397873,0.6642734408378601
9,0.8541828393936157,0.2476389855146408,0.7183964848518372,0.2720355987548828,0.7129628658294678
10,0.8099246025085449,0.2621500790119171,0.7298973798751831,0.3075796961784363,0.7602819800376892
11,0.8026743531227112,0.26874348521232605,0.7310077548027039,0.3265019357204437,0.7951942682266235
12,0.7779774069786072,0.2774217426776886,0.7439829111099243,0.249649778008461,0.6838903427124023
13,0.7452289462089539,0.29130449891090393,0.7541508078575134,0.3291495442390442,0.7724347710609436
14,0.7291533946990967,0.2990095913410187,0.7629075050354004,0.34619569778442383,0.805270791053772
15,0.7489829659461975,0.2853041887283325,0.7498044967651367,0.36010631918907166,0.8215583562850952
16,0.7257474064826965,0.29776716232299805,0.7620668411254883,0.3343716859817505,0.8100219964981079
17,0.6928715705871582,0.30423498153686523,0.7708081603050232,0.266670286655426,0.7154417634010315
18,0.6790051460266113,0.3084481358528137,0.7748879790306091,0.35463133454322815,0.7935308814048767
19,0.6949524283409119,0.30404582619667053,0.7690271139144897,0.3658822774887085,0.820196270942688
20,0.6661476492881775,0.31228822469711304,0.780306875705719,0.3041764199733734,0.7201084494590759
21,0.632384181022644,0.32514429092407227,0.7915537357330322,0.3301610052585602,0.8041192293167114
22,0.6550000905990601,0.31891265511512756,0.7853521108627319,0.3214254677295685,0.7580395936965942
23,0.6461777687072754,0.3218711018562317,0.7902116179466248,0.2404974102973938,0.6438531279563904
24,0.6483136415481567,0.3195171654224396,0.7866028547286987,0.3421091139316559,0.7913601398468018
25,0.649285078048706,0.3188392221927643,0.787087082862854,0.34285280108451843,0.7840803861618042
26,0.6277175545692444,0.32676222920417786,0.7970330119132996,0.3137298822402954,0.7631410360336304
27,0.6021709442138672,0.3379948139190674,0.8054485321044922,0.31502535939216614,0.7617403268814087
28,0.6132702827453613,0.3302568793296814,0.7982890605926514,0.36322733759880066,0.8294697403907776
29,0.5850703716278076,0.3426896035671234,0.8090695142745972,0.39128974080085754,0.8401092886924744
30,0.5608196258544922,0.3536635637283325,0.817766010761261,0.37454259395599365,0.8299760222434998
31,0.573119580745697,0.3508383631706238,0.8127602338790894,0.34289708733558655,0.7896237373352051
32,0.5332817435264587,0.3576703369617462,0.8240700364112854,0.3770700693130493,0.8356544375419617
33,0.5500875115394592,0.36823904514312744,0.8251867890357971,0.3688109517097473,0.8155694603919983
34,0.5439743399620056,0.36364883184432983,0.8250417113304138,0.33266428112983704,0.75391685962677
35,0.5404081344604492,0.3619512915611267,0.8229241967201233,0.39572009444236755,0.8432653546333313
36,0.5187678933143616,0.3735085129737854,0.8315510749816895,0.4181729853153229,0.8560891151428223
37,0.4995669424533844,0.3859430253505707,0.8389877676963806,0.3565792143344879,0.8114935755729675
38,0.5128113031387329,0.37671422958374023,0.8319371342658997,0.39119288325309753,0.8398965001106262
39,0.5083255767822266,0.3802519142627716,0.8360863924026489,0.4115484952926636,0.8400521874427795
40,0.4987924098968506,0.38557496666908264,0.838748574256897,0.3942703902721405,0.8220691680908203
41,0.49426954984664917,0.3872040808200836,0.8407757878303528,0.4339805841445923,0.8544173240661621
42,0.476339727640152,0.40070030093193054,0.8475319743156433,0.37911152839660645,0.8303512930870056
43,0.49222278594970703,0.3960515260696411,0.8428376913070679,0.4093618094921112,0.8498217463493347
44,0.4844256043434143,0.39875108003616333,0.8446850776672363,0.3820227086544037,0.8087642192840576
45,0.45683079957962036,0.4087657034397125,0.8542326092720032,0.38655519485473633,0.8259962201118469
46,0.4495407044887543,0.41218119859695435,0.8552425503730774,0.41514670848846436,0.838249146938324
47,0.4487808644771576,0.412017822265625,0.8558434247970581,0.40521520376205444,0.8483265042304993
48,0.43355417251586914,0.41730040311813354,0.8595312237739563,0.4116247594356537,0.847183883190155
49,0.4432244300842285,0.41890543699264526,0.8567951917648315,0.4334510862827301,0.8561841249465942
50,0.42683008313179016,0.4261692464351654,0.8643650412559509,0.412383496761322,0.8455309867858887
51,0.42486727237701416,0.42739737033843994,0.8629032373428345,0.3939869701862335,0.8052242994308472
52,0.4135037958621979,0.4334419369697571,0.8681129217147827,0.4213567078113556,0.8377701640129089
53,0.40671297907829285,0.4358219504356384,0.8694723844528198,0.3947415053844452,0.8258726596832275
54,0.38548824191093445,0.4467735290527344,0.8775509595870972,0.3889542520046234,0.8127357959747314
55,0.395372211933136,0.44299328327178955,0.8729550242424011,0.42266204953193665,0.8522261381149292
56,0.39527249336242676,0.44484636187553406,0.874455988407135,0.40353965759277344,0.8248867988586426
57,0.37829187512397766,0.4479931592941284,0.8783055543899536,0.4258366823196411,0.8560930490493774
58,0.3697260618209839,0.4594876766204834,0.8824034929275513,0.45289650559425354,0.8666218519210815
59,0.35594865679740906,0.46263736486434937,0.8862355351448059,0.43862906098365784,0.8580994606018066
60,0.35575392842292786,0.4641769230365753,0.8855577111244202,0.44634512066841125,0.8667474985122681
61,0.3559918701648712,0.4633740782737732,0.8852874636650085,0.45185819268226624,0.8711735010147095
