0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1297,12,0,0,28,7,0,0,4,0,0,0,17,0,0,0,0,0,46,0,0,0,3904,30,0,0,8
0,0,96682,0,35383,5458,0,0,13304,2837,74,0,860,0,8174,1421,126012,52040,0,12925,0,193,11865,0,2,0,76,9123,0,0,1570
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,814,0,3833275,1236,0,0,12996,5606,5,0,19925,0,2457,1569,39882,373,0,95034,0,35875,6895,0,363,0,96279,6378,0,5350,21725
0,0,185,1,505,223273,0,0,13,5886,10,0,51,0,283,0,430,13611,0,1224,0,3,2470,0,0,0,231,47,0,4,44
0,0,45,0,652,0,0,0,136,0,0,0,2,0,136,0,1229,15,0,126,0,0,0,0,0,0,0,0,0,0,3
0,0,42,0,285,1052,0,0,16,641,0,0,7,0,1359,0,9324,15,0,862,0,2,111,0,0,0,103,0,0,0,1138
0,0,24,0,36751,256,0,0,1344,12765,0,0,1102,0,3403,0,3468,13,0,2356,0,1,43,0,0,0,26499,0,0,0,8222
0,0,9,340,30982,1943,0,0,495,336969,0,0,2475,0,2504,0,19720,9,0,14,0,0,462,0,0,0,67279,27,0,291,64024
0,0,224,0,19,19,0,0,25,1,171630,0,0,0,4,1,40,119298,0,1991,0,5,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39123,20,0,0,0,0,0,0,94,0,0,0,54,0,0,0,0,64,191,0,0,0,304,43,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,69,112,14013,263,0,0,1024,14038,0,0,1330,0,23924,1,8617,5,0,2034,0,0,103,0,0,0,2135,0,0,1048,53951
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,657,16,33460,329,0,0,1808,5150,2,0,16,0,8018,14,53589,126,0,3457,0,0,712,0,0,0,205,25,0,13,3402
0,0,11261,0,4394,3634,0,0,2572,24,30153,0,3,0,918,728,7236,4474397,0,100996,0,0,312,0,0,0,36,8,0,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1672,0,24325,836,0,0,2167,74,324,0,3,0,5286,671,9449,39534,0,1396045,0,59,278,0,0,0,0,0,0,214,5376
0,0,0,0,9301,0,0,0,1,5,0,0,1846,0,5,0,13,0,0,0,0,1,0,0,92,0,1058,3,0,0,5
0,0,0,0,13814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527486,3,0,0,0,30256,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,53695,4,0,0,12,811,0,0,8412,0,0,0,0,0,0,0,0,0,0,0,1044,0,35814,15,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,348,0,18,81585,2,0,0,65,33686,0,0,1829,0,57,0,520,0,0,0,0,51197,1,0,2,0,2605721,0,0,417,2777
0,0,248,0,9023,16118,0,0,48,76,69,0,43,0,28,0,2676,2135,0,175,0,58,15115,0,0,0,300,4523,0,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8510,72,0,0,21,3328,0,0,187,0,22,0,528,0,0,5,0,0,39,0,0,0,3680,0,0,5,2648
0,0,215,6,21971,1631,0,0,6640,10860,0,0,962,0,34736,36,6090,17,0,26690,0,0,123,0,0,0,279,0,0,1273,127318
