step,train/loss,train/mean_iou,train/pixel_acc,val/mean_iou,val/pixel_acc
0,3.4740281105041504,0.01276635192334652,0.26742997765541077,0.025368327274918556,0.3597303628921509
1,2.8670411109924316,0.019582100212574005,0.3496471345424652,0.025270409882068634,0.36594921350479126
2,2.3218088150024414,0.03275291994214058,0.4486613869667053,0.015630381181836128,0.29316383600234985
3,1.8083670139312744,0.04812629520893097,0.5384649038314819,0.015848767012357712,0.3312440812587738
4,1.5204455852508545,0.05581378936767578,0.6122400760650635,0.01756354421377182,0.34948524832725525
5,1.3299843072891235,0.05992089956998825,0.6390839219093323,0.036655060946941376,0.4819028377532959
6,1.253539800643921,0.06635726243257523,0.6472470164299011,0.02253187820315361,0.3424432575702667
7,1.2079908847808838,0.06516701728105545,0.6516545414924622,0.04048202931880951,0.4657810926437378
8,1.1945569515228271,0.06598680466413498,0.6524114012718201,0.028456250205636024,0.4207243323326111
9,1.1613452434539795,0.06717593967914581,0.657192051410675,0.03507976233959198,0.47802209854125977
10,1.1517815589904785,0.06808967143297195,0.6601464748382568,0.06531374156475067,0.5811274647712708
11,1.125285029411316,0.06960995495319366,0.6644067168235779,0.03468853235244751,0.47308841347694397
12,1.0956370830535889,0.07385863363742828,0.6727713346481323,0.05071438476443291,0.5261942744255066
13,1.0842318534851074,0.07766417413949966,0.6783611178398132,0.03540057688951492,0.47880813479423523
14,1.0762677192687988,0.08071820437908173,0.6768389940261841,0.035353027284145355,0.468207448720932
15,1.0513031482696533,0.08229422569274902,0.686299741268158,0.06967569887638092,0.5899839401245117
16,1.0439331531524658,0.08654790371656418,0.6915395855903625,0.06897877901792526,0.5753231644630432
17,1.0314780473709106,0.08843930810689926,0.6963109970092773,0.08122334629297256,0.6220273375511169
18,1.036988377571106,0.0869775116443634,0.6935276389122009,0.07615698128938675,0.5857501029968262
19,1.0225051641464233,0.09009015560150146,0.698291003704071,0.08462435007095337,0.6201514005661011
20,1.0131560564041138,0.0899418517947197,0.7001098990440369,0.051062848418951035,0.5322520732879639
21,0.9821292757987976,0.09624455124139786,0.7124335765838623,0.0922536551952362,0.6623063087463379
22,0.9899232387542725,0.09497775882482529,0.7101646065711975,0.09621176868677139,0.6681923270225525
23,0.9769634008407593,0.09762416034936905,0.7159306406974792,0.1001933217048645,0.6873346567153931
24,0.9604342579841614,0.09735959768295288,0.718424916267395,0.0738174319267273,0.5747291445732117
25,0.9728394150733948,0.09753440320491791,0.715309202671051,0.10387216508388519,0.6943866014480591
26,0.9707580804824829,0.09765301644802094,0.7160618901252747,0.10286786407232285,0.6866227984428406
27,0.9895166158676147,0.09375636279582977,0.7025578618049622,0.11001519858837128,0.7265879511833191
28,0.9767917990684509,0.09752670675516129,0.7116799354553223,0.0786496177315712,0.6080109477043152
29,0.9648264646530151,0.10142909735441208,0.7153555750846863,0.0885825902223587,0.6346222162246704
30,0.939827561378479,0.1054191067814827,0.7259794473648071,0.08223410695791245,0.6123360991477966
31,0.950425386428833,0.10405372083187103,0.7198996543884277,0.09669200330972672,0.6465977430343628
32,0.9467577934265137,0.10464610904455185,0.71873939037323,0.07431817054748535,0.5908814072608948
33,0.9356365203857422,0.10527954995632172,0.7226829528808594,0.09788306802511215,0.6771475076675415
34,0.9113364815711975,0.11006157100200653,0.7329165935516357,0.09571744501590729,0.6397520899772644
35,0.9374106526374817,0.1063145101070404,0.7168654799461365,0.11686736345291138,0.7459741830825806
36,0.8964903354644775,0.11219920217990875,0.7352438569068909,0.0892038345336914,0.642819344997406
37,0.9150699973106384,0.11160118132829666,0.7287358045578003,0.10620258003473282,0.6972559690475464
38,0.9017444849014282,0.10938941687345505,0.7271475195884705,0.11041833460330963,0.7023661136627197
39,0.8875943422317505,0.11271056532859802,0.7331659197807312,0.11298410594463348,0.7344874739646912
40,0.8837751150131226,0.11306749284267426,0.7315612435340881,0.10693170130252838,0.7096333503723145
41,0.8472790122032166,0.12020587176084518,0.7487847208976746,0.1113327220082283,0.7342485785484314
42,0.8732070326805115,0.11704330146312714,0.7383025884628296,0.1017676517367363,0.701221227645874
43,0.8824102878570557,0.11423736065626144,0.7366703152656555,0.1092548668384552,0.7124404311180115
44,0.8766089081764221,0.11382471770048141,0.7377128601074219,0.09502565115690231,0.6531090140342712
45,0.859558641910553,0.11808335781097412,0.744282603263855,0.11725808680057526,0.7382517457008362
46,0.8326825499534607,0.12337164580821991,0.7508535981178284,0.0987718477845192,0.6810011267662048
47,0.8208543062210083,0.12628264725208282,0.7525407671928406,0.12445443868637085,0.751378059387207
48,0.8212000727653503,0.1244286298751831,0.7535692453384399,0.12607279419898987,0.7642953395843506
49,0.8442605137825012,0.12251205742359161,0.7425577044487,0.11042182147502899,0.7270756959915161
50,0.8130545616149902,0.1266477406024933,0.7584021687507629,0.0822070762515068,0.6189143657684326
51,0.8053560853004456,0.130299910902977,0.7583763003349304,0.11558772623538971,0.7358100414276123
52,0.7967864274978638,0.13395781815052032,0.7590132355690002,0.11269151419401169,0.7308647036552429
53,0.8140398859977722,0.13250267505645752,0.7519513964653015,0.11079125851392746,0.7133327126502991
54,0.7759420275688171,0.13434265553951263,0.7660516500473022,0.1180267259478569,0.7632980346679688
55,0.7809279561042786,0.14198845624923706,0.764771044254303,0.13372249901294708,0.7826694250106812
56,0.7858574390411377,0.13508126139640808,0.7602682709693909,0.12575416266918182,0.766876757144928
57,0.7913168668746948,0.13996601104736328,0.7620795965194702,0.12114984542131424,0.7602040767669678
58,0.7759179472923279,0.1399209052324295,0.7679417729377747,0.1298646479845047,0.7803025841712952
59,0.7606170177459717,0.1392124444246292,0.7678698897361755,0.11880156397819519,0.7458553910255432
60,0.7550551295280457,0.14694581925868988,0.7737043499946594,0.1342291384935379,0.7885714173316956
61,0.7345664501190186,0.1500605195760727,0.7766053080558777,0.12030191719532013,0.7622556686401367
62,0.7125271558761597,0.16023066639900208,0.7889228463172913,0.1340746134519577,0.7653380036354065
63,0.7054685354232788,0.16088718175888062,0.7894390821456909,0.13305483758449554,0.7800853252410889
